Date;BMA;GGAL
2022-11-16;12.959095001220703;7.35953950881958
2022-11-15;13.176727294921877;7.49877405166626
2022-11-14;13.542747497558594;7.638008117675781
2022-11-11;13.52296257019043;7.628063201904297
2022-11-10;13.107481002807615;7.369484424591064
2022-11-09;13.285545349121094;7.379430294036865
2022-11-08;14.116510391235352;7.677789688110352
2022-11-07;14.215434074401855;7.727516174316406
2022-11-04;14.927689552307127;7.946313381195068
2022-11-03;14.729841232299805;7.817024230957031
2022-11-02;14.80898094177246;7.797133922576904
2022-11-01;15.43220329284668;8.145219802856445
2022-10-31;14.690271377563477;7.717571258544922
2022-10-28;14.51220703125;7.5683913230896
2022-10-27;14.907904624938965;7.807078838348389
2022-10-26;14.551776885986328;7.727516174316406
2022-10-25;14.779301643371582;7.836915016174316
2022-10-24;14.363821029663086;7.707625865936279
