Date,BBAR,BMA,GGAL,SUPV
2023-02-01,4.53000020980835,21.540000915527344,13.170000076293945,2.6600000858306885
2023-01-31,4.650000095367432,21.969999313354492,13.399999618530273,2.7699999809265137
2023-01-30,4.449999809265137,20.84000015258789,12.630000114440918,2.630000114440918
2023-01-27,4.630000114440918,21.670000076293945,13.239999771118164,2.690000057220459
2023-01-26,4.800000190734863,22.610000610351562,13.823999404907227,2.7899999618530273
2023-01-25,4.789999961853027,22.75,13.973179817199707,2.890000104904175
2023-01-24,4.659999847412109,21.850000381469727,13.456022262573242,2.680000066757202
2023-01-23,4.690000057220459,21.920000076293945,13.505748748779297,2.7100000381469727
2023-01-20,4.78000020980835,22.68000030517578,13.674819946289062,2.8299999237060547
2023-01-19,4.570000171661377,21.389999389648438,12.8195219039917,2.640000104904175
2023-01-18,4.46999979019165,20.920000076293945,12.33220100402832,2.700000047683716
2023-01-17,4.920000076293945,22.170000076293945,13.684764862060547,3.0999999046325684
2023-01-13,4.659999847412109,20.559999465942383,12.968701362609863,2.930000066757202
2023-01-12,4.630000114440918,20.75,12.779741287231445,2.869999885559082
2023-01-11,4.539999961853027,19.81999969482422,12.322256088256836,2.690000057220459
2023-01-10,4.199999809265137,18.75,11.516684532165527,2.549999952316284
2023-01-09,4.25,18.600000381469727,11.337668418884277,2.5
2023-01-06,4.190000057220459,18.110000610351562,11.03930950164795,2.369999885559082
2023-01-05,4.099999904632568,17.610000610351562,10.502262115478516,2.390000104904175
2023-01-04,3.880000114440918,16.520000457763672,9.835925102233887,2.200000047683716
2023-01-03,3.690000057220459,15.8100004196167,9.497783660888672,2.1600000858306885
2022-12-30,3.9000000953674316,16.420000076293945,9.676798820495605,2.1600000858306885
2022-12-29,3.799999952316284,16.299999237060547,9.557455062866211,2.1600000858306885
2022-12-28,3.7699999809265137,16.540000915527344,9.577346801757812,2.119999885559082
2022-12-27,3.6700000762939453,15.979999542236328,9.308822631835938,2.180000066757202
2022-12-23,3.5999999046325684,15.84000015258789,9.229259490966797,2.1600000858306885
2022-12-22,3.553999900817871,15.38700008392334,8.901063919067383,2.059999942779541
2022-12-21,3.4146275520324707,15.078463554382324,8.861283302307129,1.9199999570846558
2022-12-20,3.275254964828491,14.33200454711914,8.523141860961914,1.8300000429153442
2022-12-19,3.006464958190918,13.665167808532715,7.916477680206299,1.7999999523162842
2022-12-16,2.8770477771759033,13.366585731506348,7.638008117675781,1.75
2022-12-15,2.8670926094055176,13.386490821838379,7.647953987121582,1.75
2022-12-14,2.8571372032165527,13.396443367004395,7.628063201904297,1.7999999523162842
2022-12-13,2.8372268676757812,13.356632232666016,7.578336238861084,1.7649999856948853
2022-12-12,2.8670926094055176,13.645262718200684,7.717571258544922,1.7200000286102295
2022-12-09,2.7575855255126953,13.227246284484863,7.399320602416992,1.7000000476837158
2022-12-08,2.7974061965942383,13.247152328491211,7.46893835067749,1.7300000190734863
2022-12-07,2.9965097904205322,13.884129524230957,7.906531810760498,1.8200000524520874
2022-12-06,2.8670926094055176,13.545734405517578,7.588282108306885,1.75
2022-12-05,2.887002944946289,13.3466796875,7.598227024078369,1.7400000095367432
2022-12-02,3.0661959648132324,14.172760009765625,8.175056457519531,1.7799999713897705
2022-12-01,3.1757030487060547,14.182713508605957,8.085548400878906,1.809999942779541
2022-11-30,3.2155237197875977,14.461390495300293,8.055712699890137,1.7599999904632568
2022-11-29,3.195613384246826,13.874176979064941,7.8766961097717285,1.7200000286102295
